# Server version 0.08 running on 192.168.2.10:8123
# Game ID: 26
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Wed Mar 22 09:50:00 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on 192.168.2.10
# Player 2: Player-1, '260556530', running on 192.168.2.10
START Player-0 GreedyPlayer
START Player-1 260556530
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 0
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 0
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 0
PIT 0 0
PIT 1 2
PIT 0 1
PIT 1 0
PIT 0 0
PIT 1 2
PIT 0 1
PIT 1 3
PIT 0 2
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 2
PIT 1 2
PIT 0 5
PIT 1 0
PIT 0 4
PIT 1 2
PIT 0 5
PIT 1 0
PIT 1 1
PIT 1 2
PIT 1 4
PIT 0 5
PIT 1 1
GAMEOVER WINNER 1         Player-0 score: 22  Player-1 score: 50
# Game ended: Wed Mar 22 09:50:00 EDT 2017
