# Server version 0.08 running on 192.168.2.10:8123
# Game ID: 77
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Wed Mar 22 22:03:28 EDT 2017
# Player 1: Player-0, 'RandomPlayer', running on 192.168.2.10
# Player 2: Player-1, 'Human', running on 192.168.2.10
START Player-0 RandomPlayer
START Player-1 Human
PIT 0 0
PIT 1 4
PIT 0 1
PIT 1 3
PIT 1 2
PIT 1 1
PIT 0 1
PIT 1 2
PIT 1 5
PIT 0 5
PIT 1 2
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 2
PIT 0 3
PIT 1 5
PIT 0 3
PIT 1 2
PIT 0 2
PIT 1 5
PIT 0 2
PIT 0 3
PIT 0 1
PIT 0 2
PIT 1 1
PIT 0 4
PIT 1 1
PIT 0 4
PIT 1 3
PIT 0 3
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 1
PIT 1 5
PIT 0 3
PIT 1 1
PIT 0 5
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 2
PIT 1 3
PIT 0 1
PIT 1 2
PIT 0 2
PIT 1 1
PIT 0 3
PIT 1 4
PIT 0 4
PIT 1 3
PIT 0 5
PIT 1 2
GAMEOVER WINNER 1         Player-0 score: 14  Player-1 score: 58
# Game ended: Wed Mar 22 22:08:37 EDT 2017
