# Server version 0.08 running on 10.96.48.182:8123
# Game ID: 85
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Fri Apr 07 19:12:24 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on 10.96.48.182
# Player 2: Player-1, '260556530', running on 10.96.48.182
START Player-0 GreedyPlayer
START Player-1 260556530
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 1
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 2
PIT 0 0
PIT 0 3
PIT 1 1
PIT 0 0
PIT 1 5
PIT 0 4
PIT 1 3
PIT 0 4
PIT 1 0
PIT 0 5
PIT 1 0
PIT 1 2
PIT 1 3
GAMEOVER WINNER 1         Player-0 score: 14  Player-1 score: 58
# Game ended: Fri Apr 07 19:12:25 EDT 2017
