# Server version 0.08 running on 192.168.2.10:8123
# Game ID: 102
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Sat Apr 08 11:57:16 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on 192.168.2.10
# Player 2: Player-1, 'GreedyPlayer', running on 192.168.2.10
START Player-0 GreedyPlayer
START Player-1 GreedyPlayer
PIT 0 0
PIT 1 0
PIT 0 1
PIT 1 3
PIT 0 4
PIT 1 1
PIT 0 0
PIT 0 1
PIT 1 0
PIT 0 2
PIT 1 1
PIT 0 0
PIT 1 0
PIT 0 2
PIT 0 3
PIT 1 5
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 4
PIT 0 4
PIT 1 0
PIT 0 2
PIT 1 4
PIT 0 1
PIT 1 0
PIT 0 3
PIT 1 0
PIT 0 2
PIT 1 3
PIT 1 1
PIT 0 0
PIT 1 5
PIT 0 0
PIT 1 4
PIT 0 0
PIT 1 3
PIT 0 2
PIT 1 2
PIT 0 3
PIT 1 4
PIT 1 5
PIT 0 0
PIT 1 3
PIT 0 3
PIT 1 4
PIT 0 1
GAMEOVER WINNER 0         Player-0 score: 56  Player-1 score: 16
# Game ended: Sat Apr 08 11:57:17 EDT 2017
