# Server version 0.08 running on 142.157.42.206:8123
# Game ID: 2
# Board class: bohnenspiel.BohnenspielBoard
# Timeout: 300000
# First Move Timeout: 30000
# Date: Mon Mar 20 14:53:18 EDT 2017
# Player 1: Player-0, 'GreedyPlayer', running on 142.157.42.206
# Player 2: Player-1, 'Human', running on 142.157.42.206
START Player-0 GreedyPlayer
START Player-1 Human
PIT 0 0
PIT 1 0
PIT 0 5
PIT 1 5
PIT 0 4
PIT 1 4
PIT 0 4
PIT 1 2
PIT 0 4
PIT 1 4
PIT 0 0
PIT 1 3
PIT 0 5
PIT 1 4
PIT 0 0
PIT 1 1
PIT 0 1
PIT 1 4
PIT 0 2
PIT 1 1
PIT 0 3
PIT 1 3
PIT 0 4
PIT 1 2
PIT 0 0
PIT 1 3
PIT 0 1
PIT 1 4
PIT 0 2
PIT 1 0
PIT 0 3
PIT 1 0
PIT 0 4
PIT 1 1
PIT 0 5
PIT 1 1
PIT 1 0
PIT 1 1
GAMEOVER WINNER 0         Player-0 score: 42  Player-1 score: 30
# Game ended: Mon Mar 20 14:57:12 EDT 2017
